model_dir,model,context,context_sources,dataset,manipulation,macro_f1,accuracy
mistral_small_24b,mistral-small-latest,c1,definition,ABSTRCT,original,0.696969696969697,0.7
mistral_small_24b,mistral-small-latest,c1,definition,ABSTRCT,content_only,0.696969696969697,0.7
mistral_small_24b,mistral-small-latest,c1,definition,ABSTRCT,shuffle,0.5238095238095238,0.6
mistral_small_24b,mistral-small-latest,c1,definition,ACQUA,original,0.6703296703296704,0.7
mistral_small_24b,mistral-small-latest,c1,definition,ACQUA,content_only,0.45054945054945056,0.5
mistral_small_24b,mistral-small-latest,c1,definition,ACQUA,shuffle,0.45054945054945056,0.5
mistral_small_24b,mistral-small-latest,c1,definition,AEC,original,0.3333333333333333,0.5
mistral_small_24b,mistral-small-latest,c1,definition,AEC,content_only,0.375,0.4
mistral_small_24b,mistral-small-latest,c1,definition,AEC,shuffle,0.4949494949494949,0.5
mistral_small_24b,mistral-small-latest,c1,definition,AFS,original,0.45054945054945056,0.5
mistral_small_24b,mistral-small-latest,c1,definition,AFS,content_only,0.696969696969697,0.7
mistral_small_24b,mistral-small-latest,c1,definition,AFS,shuffle,0.5238095238095238,0.6
mistral_small_24b,mistral-small-latest,c1,definition,ARGUMINSCI,original,0.7916666666666667,0.8
mistral_small_24b,mistral-small-latest,c1,definition,ARGUMINSCI,content_only,0.5238095238095238,0.6
mistral_small_24b,mistral-small-latest,c1,definition,ARGUMINSCI,shuffle,0.3333333333333333,0.5
mistral_small_24b,mistral-small-latest,c1,definition,FINARG,original,0.5833333333333333,0.6
mistral_small_24b,mistral-small-latest,c1,definition,FINARG,content_only,0.45054945054945056,0.5
mistral_small_24b,mistral-small-latest,c1,definition,FINARG,shuffle,0.3333333333333333,0.5
mistral_small_24b,mistral-small-latest,c1,definition,IAM,original,0.5833333333333333,0.6
mistral_small_24b,mistral-small-latest,c1,definition,IAM,content_only,0.5833333333333333,0.6
mistral_small_24b,mistral-small-latest,c1,definition,IAM,shuffle,0.7916666666666667,0.8
mistral_small_24b,mistral-small-latest,c1,definition,PE,original,0.696969696969697,0.7
mistral_small_24b,mistral-small-latest,c1,definition,PE,content_only,0.6703296703296704,0.7
mistral_small_24b,mistral-small-latest,c1,definition,PE,shuffle,0.3333333333333333,0.5
mistral_small_24b,mistral-small-latest,c1,definition,SCIARK,original,0.34848484848484845,0.5
mistral_small_24b,mistral-small-latest,c1,definition,SCIARK,content_only,0.375,0.4
mistral_small_24b,mistral-small-latest,c1,definition,SCIARK,shuffle,0.3333333333333333,0.5
mistral_small_24b,mistral-small-latest,c1,definition,USELEC,original,0.29292929292929293,0.3
mistral_small_24b,mistral-small-latest,c1,definition,USELEC,content_only,0.29292929292929293,0.3
mistral_small_24b,mistral-small-latest,c1,definition,USELEC,shuffle,0.2857142857142857,0.4
gpt_4_1,@azure-openai-foundry/gpt-4.1,c1,definition,ABSTRCT,original,0.6228571428571429,0.6333333333333333
gpt_4_1,@azure-openai-foundry/gpt-4.1,c1,definition,ABSTRCT,content_only,0.5661846496106786,0.5666666666666667
gpt_4_1,@azure-openai-foundry/gpt-4.1,c1,definition,ABSTRCT,shuffle,0.5622895622895623,0.5666666666666667
